"","ShipName","ShipAddress","ShipCity","ShipPostalCode","ShipCountry","CustomerID","CustomerName","Address","City","Country","Salesperson","OrderID","OrderDate","RequiredDate","ShipperName","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice","Freight","total_sales"
"1","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","51100","France","VINET","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","France","Steven Buchanan",10248,1996-07-04,1996-08-01,"Federal Shipping",11,"Queso Cabrales",14,12,0,168,32.38,168
"2","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","51100","France","VINET","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","France","Steven Buchanan",10248,1996-07-04,1996-08-01,"Federal Shipping",42,"Singaporean Hokkien Fried Mee",9.8,10,0,98,32.38,98
"3","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","51100","France","VINET","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","France","Steven Buchanan",10248,1996-07-04,1996-08-01,"Federal Shipping",72,"Mozzarella di Giovanni",34.8,5,0,174,32.38,174
"4","Toms Spezialitäten","Luisenstr. 48","Münster","44087","Germany","TOMSP","Toms Spezialitäten","Luisenstr. 48","Münster","Germany","Michael Suyama",10249,1996-07-05,1996-08-16,"Speedy Express",14,"Tofu",18.6,9,0,167.4,11.61,167.4
"5","Toms Spezialitäten","Luisenstr. 48","Münster","44087","Germany","TOMSP","Toms Spezialitäten","Luisenstr. 48","Münster","Germany","Michael Suyama",10249,1996-07-05,1996-08-16,"Speedy Express",51,"Manjimup Dried Apples",42.4,40,0,1696,11.61,1696
"6","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Margaret Peacock",10250,1996-07-08,1996-08-05,"United Package",41,"Jack's New England Clam Chowder",7.7,10,0,77,65.83,77
"7","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Margaret Peacock",10250,1996-07-08,1996-08-05,"United Package",51,"Manjimup Dried Apples",42.4,35,0.150000005960464,1261.4,65.83,1484
"8","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Margaret Peacock",10250,1996-07-08,1996-08-05,"United Package",65,"Louisiana Fiery Hot Pepper Sauce",16.8,15,0.150000005960464,214.2,65.83,252
"9","Victuailles en stock","2, rue du Commerce","Lyon","69004","France","VICTE","Victuailles en stock","2, rue du Commerce","Lyon","France","Janet Leverling",10251,1996-07-08,1996-08-05,"Speedy Express",22,"Gustaf's Knäckebröd",16.8,6,0.0500000007450581,95.76,41.34,100.8
"10","Victuailles en stock","2, rue du Commerce","Lyon","69004","France","VICTE","Victuailles en stock","2, rue du Commerce","Lyon","France","Janet Leverling",10251,1996-07-08,1996-08-05,"Speedy Express",57,"Ravioli Angelo",15.6,15,0.0500000007450581,222.3,41.34,234
"11","Victuailles en stock","2, rue du Commerce","Lyon","69004","France","VICTE","Victuailles en stock","2, rue du Commerce","Lyon","France","Janet Leverling",10251,1996-07-08,1996-08-05,"Speedy Express",65,"Louisiana Fiery Hot Pepper Sauce",16.8,20,0,336,41.34,336
"12","Suprêmes délices","Boulevard Tirou, 255","Charleroi","B-6000","Belgium","SUPRD","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Belgium","Margaret Peacock",10252,1996-07-09,1996-08-06,"United Package",20,"Sir Rodney's Marmalade",64.8,40,0.0500000007450581,2462.4,51.3,2592
"13","Suprêmes délices","Boulevard Tirou, 255","Charleroi","B-6000","Belgium","SUPRD","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Belgium","Margaret Peacock",10252,1996-07-09,1996-08-06,"United Package",33,"Geitost",2,25,0.0500000007450581,47.5,51.3,50
"14","Suprêmes délices","Boulevard Tirou, 255","Charleroi","B-6000","Belgium","SUPRD","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Belgium","Margaret Peacock",10252,1996-07-09,1996-08-06,"United Package",60,"Camembert Pierrot",27.2,40,0,1088,51.3,1088
"15","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Janet Leverling",10253,1996-07-10,1996-07-24,"United Package",31,"Gorgonzola Telino",10,20,0,200,58.17,200
"16","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Janet Leverling",10253,1996-07-10,1996-07-24,"United Package",39,"Chartreuse verte",14.4,42,0,604.8,58.17,604.8
"17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","05454-876","Brazil","HANAR","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","Brazil","Janet Leverling",10253,1996-07-10,1996-07-24,"United Package",49,"Maxilaku",16,40,0,640,58.17,640
"18","Chop-suey Chinese","Hauptstr. 31","Bern","3012","Switzerland","CHOPS","Chop-suey Chinese","Hauptstr. 29","Bern","Switzerland","Steven Buchanan",10254,1996-07-11,1996-08-08,"United Package",24,"Guaraná Fantástica",3.6,15,0.150000005960464,45.9,22.98,54
"19","Chop-suey Chinese","Hauptstr. 31","Bern","3012","Switzerland","CHOPS","Chop-suey Chinese","Hauptstr. 29","Bern","Switzerland","Steven Buchanan",10254,1996-07-11,1996-08-08,"United Package",55,"Pâté chinois",19.2,21,0.150000005960464,342.72,22.98,403.2
"20","Chop-suey Chinese","Hauptstr. 31","Bern","3012","Switzerland","CHOPS","Chop-suey Chinese","Hauptstr. 29","Bern","Switzerland","Steven Buchanan",10254,1996-07-11,1996-08-08,"United Package",74,"Longlife Tofu",8,21,0,168,22.98,168
"21","Richter Supermarkt","Starenweg 5","Genève","1204","Switzerland","RICSU","Richter Supermarkt","Grenzacherweg 237","Genève","Switzerland","Anne Dodsworth",10255,1996-07-12,1996-08-09,"Federal Shipping",2,"Chang",15.2,20,0,304,148.33,304
"22","Richter Supermarkt","Starenweg 5","Genève","1204","Switzerland","RICSU","Richter Supermarkt","Grenzacherweg 237","Genève","Switzerland","Anne Dodsworth",10255,1996-07-12,1996-08-09,"Federal Shipping",16,"Pavlova",13.9,35,0,486.5,148.33,486.5
"23","Richter Supermarkt","Starenweg 5","Genève","1204","Switzerland","RICSU","Richter Supermarkt","Grenzacherweg 237","Genève","Switzerland","Anne Dodsworth",10255,1996-07-12,1996-08-09,"Federal Shipping",36,"Inlagd Sill",15.2,25,0,380,148.33,380
"24","Richter Supermarkt","Starenweg 5","Genève","1204","Switzerland","RICSU","Richter Supermarkt","Grenzacherweg 237","Genève","Switzerland","Anne Dodsworth",10255,1996-07-12,1996-08-09,"Federal Shipping",59,"Raclette Courdavault",44,30,0,1320,148.33,1320
"25","Wellington Importadora","Rua do Mercado, 12","Resende","08737-363","Brazil","WELLI","Wellington Importadora","Rua do Mercado, 12","Resende","Brazil","Janet Leverling",10256,1996-07-15,1996-08-12,"United Package",53,"Perth Pasties",26.2,15,0,393,13.97,393
"26","Wellington Importadora","Rua do Mercado, 12","Resende","08737-363","Brazil","WELLI","Wellington Importadora","Rua do Mercado, 12","Resende","Brazil","Janet Leverling",10256,1996-07-15,1996-08-12,"United Package",77,"Original Frankfurter grüne Soße",10.4,12,0,124.8,13.97,124.8
"27","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","5022","Venezuela","HILAA","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Venezuela","Margaret Peacock",10257,1996-07-16,1996-08-13,"Federal Shipping",27,"Schoggi Schokolade",35.1,25,0,877.5,81.91,877.5
"28","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","5022","Venezuela","HILAA","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Venezuela","Margaret Peacock",10257,1996-07-16,1996-08-13,"Federal Shipping",39,"Chartreuse verte",14.4,6,0,86.4,81.91,86.4
